Reason 1,Reason 2,Reason 3,Reason 4,Day of the Week,Month Value,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
0,0,1,0,2,9,0.5798969072164949,0.5,0.4827586206896552,0.6373349098932655,0.631578947368421,0,1,2,3
0,0,0,1,2,9,0.46134020618556704,0.9807692307692307,0.6551724137931034,0.6373349098932655,0.8157894736842105,0,0,0,3
0,0,0,0,2,9,0.9510309278350515,0.3269230769230769,0.5344827586206896,0.6373349098932655,0.6578947368421053,0,3,0,0
0,0,0,1,4,9,0.6391752577319587,0.4807692307692308,0.8103448275862069,0.6373349098932655,0.8421052631578947,0,2,1,1
0,0,0,1,4,9,0.46134020618556704,0.9807692307692307,0.6551724137931034,0.6373349098932655,0.8157894736842105,0,0,0,3
0,0,0,1,4,9,0.6701030927835051,0.9615384615384616,0.6206896551724138,0.6373349098932655,0.6052631578947368,0,4,0,4
0,0,0,1,1,10,0.46134020618556704,0.9807692307692307,0.6551724137931034,0.6689778401832751,0.8157894736842105,0,0,0,3
0,0,0,1,1,10,0.30412371134020616,0.19230769230769232,0.6379310344827587,0.6689778401832751,0.7368421052631579,0,0,0,3
0,0,0,0,2,10,0.30412371134020616,0.25,0.8620689655172413,0.6689778401832751,0.8157894736842105,0,1,0,0
0,0,0,1,3,10,0.46134020618556704,0.5,0.5172413793103449,0.6689778401832751,0.5,1,0,0,1
0,0,0,1,4,10,0.46134020618556704,0.9807692307692307,0.6551724137931034,0.6689778401832751,0.8157894736842105,0,0,0,3
0,0,0,1,4,10,0.5798969072164949,0.5,0.4827586206896552,0.6689778401832751,0.631578947368421,0,1,2,3
0,0,0,1,1,10,0.30412371134020616,0.19230769230769232,0.6379310344827587,0.6689778401832751,0.7368421052631579,0,0,0,3
0,0,0,1,2,10,0.5798969072164949,0.5,0.4827586206896552,0.6689778401832751,0.631578947368421,0,1,2,2
0,0,0,1,2,10,0.6391752577319587,0.4807692307692308,0.8103448275862069,0.6689778401832751,0.8421052631578947,0,2,1,2
0,0,0,1,3,10,0.75,0.5961538461538461,0.6896551724137931,0.6689778401832751,0.6578947368421053,0,1,1,5
0,0,0,1,2,10,0.46134020618556704,0.9807692307692307,0.6551724137931034,0.6689778401832751,0.8157894736842105,0,0,0,8
0,0,0,1,2,10,0.5798969072164949,0.5,0.4827586206896552,0.6689778401832751,0.631578947368421,0,1,2,3
0,0,1,0,3,10,0.6701030927835051,0.9615384615384616,0.6206896551724138,0.6689778401832751,0.6052631578947368,0,4,0,16
1,0,0,0,1,10,0.75,0.5961538461538461,0.6896551724137931,0.6689778401832751,0.6578947368421053,0,1,1,8
0,0,0,1,1,10,0.5798969072164949,0.5,0.4827586206896552,0.6689778401832751,0.631578947368421,0,1,2,2
0,0,0,1,2,10,0.7448453608247423,0.6923076923076923,0.5689655172413793,0.6689778401832751,0.7894736842105263,0,2,1,8
0,0,0,1,4,10,0.9304123711340206,1.0,0.4827586206896552,0.6689778401832751,0.7105263157894737,0,1,4,1
0,0,0,1,4,10,0.6701030927835051,0.9615384615384616,0.6206896551724138,0.6689778401832751,0.6052631578947368,0,4,0,3
0,0,0,1,3,11,0.46134020618556704,0.9807692307692307,0.6551724137931034,0.8085456234625902,0.8157894736842105,0,0,0,1
0,0,0,1,2,11,0.5798969072164949,0.5,0.4827586206896552,0.8085456234625902,0.631578947368421,0,1,2,1
1,0,0,0,3,11,0.46134020618556704,0.9807692307692307,0.6551724137931034,0.8085456234625902,0.8157894736842105,0,0,0,8
0,0,1,0,3,11,0.46134020618556704,0.4230769230769231,0.6896551724137931,0.8085456234625902,0.5789473684210527,1,2,0,8
0,0,0,1,3,11,0.75,0.5961538461538461,0.6896551724137931,0.8085456234625902,0.6578947368421053,0,1,1,5
1,0,0,0,0,11,0.39948453608247425,0.23076923076923078,0.5862068965517241,0.8085456234625902,0.6578947368421053,0,2,0,32
0,0,0,1,0,11,0.48711340206185566,0.5576923076923077,0.5689655172413793,0.8085456234625902,0.6578947368421053,0,2,2,8
1,0,0,0,0,11,0.75,0.5961538461538461,0.6896551724137931,0.8085456234625902,0.6578947368421053,0,1,1,40
0,0,0,1,2,11,0.5798969072164949,0.5,0.4827586206896552,0.8085456234625902,0.631578947368421,0,1,2,1
1,0,0,0,4,11,0.39948453608247425,0.23076923076923078,0.5862068965517241,0.8085456234625902,0.6578947368421053,0,2,0,8
0,0,0,1,2,11,0.5798969072164949,0.5,0.4827586206896552,0.8085456234625902,0.631578947368421,0,1,2,3
0,0,1,0,2,11,0.46134020618556704,0.4230769230769231,0.6896551724137931,0.8085456234625902,0.5789473684210527,1,2,0,8
1,0,0,0,4,11,0.5798969072164949,0.5,0.4827586206896552,0.8085456234625902,0.631578947368421,0,1,2,3
0,0,0,1,4,11,0.6701030927835051,0.9615384615384616,0.6206896551724138,0.8085456234625902,0.6052631578947368,0,4,0,4
0,0,0,1,0,11,0.6391752577319587,0.4807692307692308,0.8103448275862069,0.8085456234625902,0.8421052631578947,0,2,1,1
0,0,0,1,1,11,0.5798969072164949,0.5,0.4827586206896552,0.8085456234625902,0.631578947368421,0,1,2,3
1,0,0,0,2,11,0.7448453608247423,0.6923076923076923,0.5689655172413793,0.8085456234625902,0.7894736842105263,0,2,1,24
0,0,0,1,3,11,0.75,0.5961538461538461,0.6896551724137931,0.8085456234625902,0.6578947368421053,0,1,1,3
0,0,0,1,1,12,0.6391752577319587,0.4807692307692308,0.8103448275862069,0.6896728286230086,0.8421052631578947,0,2,1,1
0,0,1,0,1,12,0.30412371134020616,0.19230769230769232,0.6379310344827587,0.6896728286230086,0.7368421052631579,0,0,0,64
0,0,0,1,2,12,0.30412371134020616,0.25,0.8620689655172413,0.6896728286230086,0.8157894736842105,0,1,0,2
0,0,0,1,2,12,0.6056701030927835,0.21153846153846154,0.6379310344827587,0.6896728286230086,0.7631578947368421,1,1,1,8
0,0,0,1,3,12,0.5798969072164949,0.5,0.4827586206896552,0.6896728286230086,0.631578947368421,0,1,2,2
0,0,0,1,4,12,0.6701030927835051,0.9615384615384616,0.6206896551724138,0.6896728286230086,0.6052631578947368,0,4,0,8
0,0,1,0,1,12,0.30412371134020616,0.19230769230769232,0.6379310344827587,0.6896728286230086,0.7368421052631579,0,0,0,56
0,0,0,1,2,12,0.9304123711340206,1.0,0.4827586206896552,0.6896728286230086,0.7105263157894737,0,1,4,8
0,0,0,1,3,12,0.5798969072164949,0.5,0.4827586206896552,0.6896728286230086,0.631578947368421,0,1,2,3
0,0,0,1,4,12,0.6701030927835051,0.9615384615384616,0.6206896551724138,0.6896728286230086,0.6052631578947368,0,4,0,3
0,0,0,1,1,12,0.5798969072164949,0.5,0.4827586206896552,0.6896728286230086,0.631578947368421,0,1,2,2
0,0,0,1,2,12,0.9304123711340206,1.0,0.4827586206896552,0.6896728286230086,0.7105263157894737,0,1,4,8
0,0,0,1,4,12,0.30412371134020616,0.19230769230769232,0.6379310344827587,0.6896728286230086,0.7368421052631579,0,0,0,2
0,0,1,0,4,12,0.634020618556701,0.4807692307692308,0.7068965517241379,0.6896728286230086,0.6052631578947368,0,0,0,8
0,0,0,1,4,12,0.5798969072164949,0.5,0.4827586206896552,0.6896728286230086,0.631578947368421,0,1,2,2
0,0,0,1,2,1,0.5798969072164949,0.5,0.4827586206896552,0.8144788378501072,0.631578947368421,0,1,2,1
0,0,1,0,0,1,0.30412371134020616,0.19230769230769232,0.6379310344827587,0.8144788378501072,0.7368421052631579,0,0,0,1
0,0,0,1,1,1,0.30412371134020616,0.19230769230769232,0.6379310344827587,0.8144788378501072,0.7368421052631579,0,0,0,1
0,0,1,0,1,1,0.39948453608247425,0.23076923076923078,0.5862068965517241,0.8144788378501072,0.6578947368421053,0,2,0,8
0,0,0,1,2,1,0.5798969072164949,0.5,0.4827586206896552,0.8144788378501072,0.631578947368421,0,1,2,2
0,0,0,1,3,1,0.4742268041237113,0.8076923076923077,0.46551724137931033,0.8144788378501072,0.5526315789473685,0,0,0,2
0,0,0,1,3,1,0.5798969072164949,0.5,0.4827586206896552,0.8144788378501072,0.631578947368421,0,1,2,2
0,0,0,1,4,1,0.5798969072164949,0.5,0.4827586206896552,0.8144788378501072,0.631578947368421,0,1,2,1
0,0,0,1,0,1,0.30412371134020616,0.19230769230769232,0.6379310344827587,0.8144788378501072,0.7368421052631579,0,0,0,2
0,0,0,1,1,1,0.5798969072164949,0.5,0.4827586206896552,0.8144788378501072,0.631578947368421,0,1,2,2
0,0,0,1,1,1,0.30412371134020616,0.19230769230769232,0.6379310344827587,0.8144788378501072,0.7368421052631579,0,0,0,2
0,0,0,1,2,1,0.30412371134020616,0.19230769230769232,0.6379310344827587,0.8144788378501072,0.7368421052631579,0,0,0,2
0,0,0,1,3,1,0.30412371134020616,0.19230769230769232,0.6379310344827587,0.8144788378501072,0.7368421052631579,0,0,0,2
0,0,0,1,4,1,0.30412371134020616,0.19230769230769232,0.6379310344827587,0.8144788378501072,0.7368421052631579,0,0,0,2
0,0,0,1,0,1,0.30412371134020616,0.19230769230769232,0.6379310344827587,0.8144788378501072,0.7368421052631579,0,0,0,2
0,0,0,1,1,1,0.30412371134020616,0.19230769230769232,0.6379310344827587,0.8144788378501072,0.7368421052631579,0,0,0,2
0,0,1,0,1,1,0.46134020618556704,0.5,0.5172413793103449,0.8144788378501072,0.5,1,0,0,8
0,0,1,0,1,1,0.7448453608247423,0.6923076923076923,0.5689655172413793,0.8144788378501072,0.7894736842105263,0,2,1,8
0,0,0,1,2,1,0.30412371134020616,0.19230769230769232,0.6379310344827587,0.8144788378501072,0.7368421052631579,0,0,0,2
0,0,0,1,3,1,0.4742268041237113,0.8076923076923077,0.46551724137931033,0.8144788378501072,0.5526315789473685,0,0,0,2
0,0,0,1,3,1,0.30412371134020616,0.19230769230769232,0.6379310344827587,0.8144788378501072,0.7368421052631579,0,0,0,2
0,0,0,1,0,1,0.30412371134020616,0.19230769230769232,0.6379310344827587,0.8144788378501072,0.7368421052631579,0,0,0,0
0,0,0,1,1,1,0.5798969072164949,0.5,0.4827586206896552,0.8144788378501072,0.631578947368421,0,1,2,1
0,0,0,1,3,1,0.7448453608247423,0.6923076923076923,0.5689655172413793,0.8144788378501072,0.7894736842105263,0,2,1,3
0,0,0,1,4,2,0.4742268041237113,0.8076923076923077,0.46551724137931033,0.7986217417468142,0.5526315789473685,0,0,0,1
1,0,0,0,2,2,0.634020618556701,0.4807692307692308,0.7068965517241379,0.7986217417468142,0.6052631578947368,0,0,0,8
1,0,0,0,2,2,0.46134020618556704,0.9807692307692307,0.6551724137931034,0.7986217417468142,0.8157894736842105,0,0,0,8
0,0,0,1,3,2,0.39948453608247425,0.23076923076923078,0.5862068965517241,0.7986217417468142,0.6578947368421053,0,2,0,2
0,0,0,1,3,2,0.48711340206185566,0.5576923076923077,0.5689655172413793,0.7986217417468142,0.6578947368421053,0,2,2,8
0,0,0,1,4,2,0.6701030927835051,0.9615384615384616,0.6206896551724138,0.7986217417468142,0.6052631578947368,0,4,0,2
0,0,0,1,4,2,0.7448453608247423,0.6923076923076923,0.5689655172413793,0.7986217417468142,0.7894736842105263,0,2,1,8
1,0,0,0,0,2,1.0,0.28846153846153844,0.8620689655172413,0.7986217417468142,0.631578947368421,0,0,0,8
1,0,0,0,1,2,1.0,0.28846153846153844,0.8620689655172413,0.7986217417468142,0.631578947368421,0,0,0,8
0,0,0,1,0,2,0.5798969072164949,0.5,0.4827586206896552,0.7986217417468142,0.631578947368421,0,1,2,2
0,0,0,1,1,2,0.5798969072164949,0.5,0.4827586206896552,0.7986217417468142,0.631578947368421,0,1,2,2
0,0,0,1,1,2,0.46134020618556704,0.5,0.5172413793103449,0.7986217417468142,0.5,1,0,0,1
0,0,0,1,1,2,0.4742268041237113,0.8076923076923077,0.46551724137931033,0.7986217417468142,0.5526315789473685,0,0,0,8
0,0,0,1,3,2,0.5798969072164949,0.5,0.4827586206896552,0.7986217417468142,0.631578947368421,0,1,2,3
0,0,1,0,0,2,0.8505154639175257,0.3076923076923077,0.4827586206896552,0.7986217417468142,0.6578947368421053,1,0,0,8
0,0,0,1,1,2,0.8505154639175257,0.3076923076923077,0.4827586206896552,0.7986217417468142,0.6578947368421053,1,0,0,1
0,0,0,1,2,2,0.5798969072164949,0.5,0.4827586206896552,0.7986217417468142,0.631578947368421,0,1,2,1
0,0,1,0,3,2,0.48711340206185566,0.5576923076923077,0.5689655172413793,0.7986217417468142,0.6578947368421053,0,2,2,8
0,0,0,1,1,3,0.75,0.9615384615384616,0.5517241379310345,0.9059580240918066,0.6052631578947368,0,0,0,2
0,0,1,0,1,3,0.6701030927835051,0.9615384615384616,0.6206896551724138,0.9059580240918066,0.6052631578947368,0,4,0,8
0,0,1,0,1,3,0.40463917525773196,0.5192307692307693,0.5,0.9059580240918066,0.5789473684210527,0,0,0,3
0,1,0,0,1,3,0.46134020618556704,0.4230769230769231,0.6896551724137931,0.9059580240918066,0.5789473684210527,1,2,0,8
0,0,0,1,2,3,0.75,0.5961538461538461,0.6896551724137931,0.9059580240918066,0.6578947368421053,0,1,1,8
1,0,0,0,2,3,0.6701030927835051,0.9615384615384616,0.6206896551724138,0.9059580240918066,0.6052631578947368,0,4,0,8
1,0,0,0,3,3,0.46134020618556704,0.5,0.5172413793103449,0.9059580240918066,0.5,1,0,0,8
1,0,0,0,4,3,0.6391752577319587,0.4807692307692308,0.8103448275862069,0.9059580240918066,0.8421052631578947,0,2,1,3
1,0,0,0,4,3,0.6701030927835051,0.9615384615384616,0.6206896551724138,0.9059580240918066,0.6052631578947368,0,4,0,40
1,0,0,0,0,3,0.46134020618556704,0.4230769230769231,0.6896551724137931,0.9059580240918066,0.5789473684210527,1,2,0,40
1,0,0,0,0,3,0.39948453608247425,0.23076923076923078,0.5862068965517241,0.9059580240918066,0.6578947368421053,0,2,0,16
0,0,0,1,0,3,0.6701030927835051,0.9615384615384616,0.6206896551724138,0.9059580240918066,0.6052631578947368,0,4,0,16
1,0,0,0,1,3,0.39948453608247425,0.23076923076923078,0.5862068965517241,0.9059580240918066,0.6578947368421053,0,2,0,8
1,0,0,0,3,3,0.7448453608247423,0.6923076923076923,0.5689655172413793,0.9059580240918066,0.7894736842105263,0,2,1,8
1,0,0,0,3,3,0.46134020618556704,0.4230769230769231,0.6896551724137931,0.9059580240918066,0.5789473684210527,1,2,0,8
0,0,0,1,4,3,0.6701030927835051,0.9615384615384616,0.6206896551724138,0.9059580240918066,0.6052631578947368,0,4,0,4
0,0,0,1,4,3,0.5798969072164949,0.5,0.4827586206896552,0.9059580240918066,0.631578947368421,0,1,2,1
1,0,0,0,0,3,0.7190721649484536,0.09615384615384616,0.6724137931034483,0.9059580240918066,0.631578947368421,0,2,0,8
1,0,0,0,1,3,0.46134020618556704,0.9807692307692307,0.6551724137931034,0.9059580240918066,0.8157894736842105,0,0,0,24
0,0,0,1,2,3,0.5798969072164949,0.5,0.4827586206896552,0.9059580240918066,0.631578947368421,0,1,2,2
1,0,0,0,0,3,0.5798969072164949,0.5,0.4827586206896552,0.9059580240918066,0.631578947368421,0,1,2,8
1,0,0,0,0,3,0.46134020618556704,0.5,0.5172413793103449,0.9059580240918066,0.5,1,0,0,1
1,0,0,0,1,3,0.5798969072164949,0.5,0.4827586206896552,0.9059580240918066,0.631578947368421,0,1,2,8
1,0,0,0,2,3,0.5798969072164949,0.5,0.4827586206896552,0.9059580240918066,0.631578947368421,0,1,2,16
1,0,0,0,2,3,0.46134020618556704,0.9807692307692307,0.6551724137931034,0.9059580240918066,0.8157894736842105,0,0,0,3
1,0,0,0,3,3,0.7190721649484536,0.09615384615384616,0.6724137931034483,0.9059580240918066,0.631578947368421,0,2,0,16
0,0,0,1,4,3,0.5798969072164949,0.5,0.4827586206896552,0.9059580240918066,0.631578947368421,0,1,2,2
1,0,0,0,4,3,0.6391752577319587,0.4807692307692308,0.8103448275862069,0.9059580240918066,0.8421052631578947,0,2,1,3
0,0,0,1,0,3,0.5798969072164949,0.5,0.4827586206896552,0.9059580240918066,0.631578947368421,0,1,2,1
0,0,0,1,2,4,0.75,0.5961538461538461,0.6896551724137931,0.8616146366697987,0.6578947368421053,0,1,1,1
0,0,0,1,2,4,0.5798969072164949,0.5,0.4827586206896552,0.8616146366697987,0.631578947368421,0,1,2,1
0,0,0,1,1,4,0.39948453608247425,0.23076923076923078,0.5862068965517241,0.8616146366697987,0.6578947368421053,0,2,0,1
1,0,0,0,2,4,0.634020618556701,0.4807692307692308,0.7068965517241379,0.8616146366697987,0.6052631578947368,0,0,0,24
0,0,0,1,3,4,0.39948453608247425,0.23076923076923078,0.5862068965517241,0.8616146366697987,0.6578947368421053,0,2,0,1
0,0,0,1,4,4,0.5798969072164949,0.5,0.4827586206896552,0.8616146366697987,0.631578947368421,0,1,2,2
0,0,0,1,4,4,0.6701030927835051,0.9615384615384616,0.6206896551724138,0.8616146366697987,0.6052631578947368,0,4,0,4
1,0,0,0,2,4,0.46134020618556704,0.9807692307692307,0.6551724137931034,0.8616146366697987,0.8157894736842105,0,0,0,24
0,0,0,1,3,4,0.30412371134020616,0.25,0.8620689655172413,0.8616146366697987,0.8157894736842105,0,1,0,1
0,0,0,1,4,4,0.75,0.5961538461538461,0.6896551724137931,0.8616146366697987,0.6578947368421053,0,1,1,3
1,0,0,0,4,4,0.634020618556701,0.4807692307692308,0.7068965517241379,0.8616146366697987,0.6052631578947368,0,0,0,8
0,0,0,1,4,4,0.75,0.5961538461538461,0.6896551724137931,0.8616146366697987,0.6578947368421053,0,1,1,1
0,0,0,1,4,4,0.6391752577319587,0.4807692307692308,0.8103448275862069,0.8616146366697987,0.8421052631578947,0,2,1,8
0,0,1,0,4,4,0.6701030927835051,0.9615384615384616,0.6206896551724138,0.8616146366697987,0.6052631578947368,0,4,0,56
0,0,1,0,1,4,0.7448453608247423,0.6923076923076923,0.5689655172413793,0.8616146366697987,0.7894736842105263,0,2,1,8
1,0,0,0,2,4,0.39948453608247425,0.23076923076923078,0.5862068965517241,0.8616146366697987,0.6578947368421053,0,2,0,24
0,0,1,0,2,4,0.9742268041237113,0.9423076923076923,0.6206896551724138,0.8616146366697987,0.5526315789473685,0,2,4,8
1,0,0,0,3,4,0.7448453608247423,0.6923076923076923,0.5689655172413793,0.8616146366697987,0.7894736842105263,0,2,1,16
1,0,0,0,4,4,0.6056701030927835,0.21153846153846154,0.6379310344827587,0.8616146366697987,0.7631578947368421,1,1,1,3
0,0,0,0,0,4,0.6056701030927835,0.5576923076923077,0.8275862068965517,0.8616146366697987,0.868421052631579,0,1,5,0
1,0,0,0,2,5,0.7448453608247423,0.6923076923076923,0.5689655172413793,1.0,0.7894736842105263,0,2,1,8
0,0,0,1,3,5,0.39948453608247425,0.23076923076923078,0.5862068965517241,1.0,0.6578947368421053,0,2,0,2
0,0,0,1,0,5,0.39948453608247425,0.23076923076923078,0.5862068965517241,1.0,0.6578947368421053,0,2,0,1
0,0,1,0,1,5,0.46134020618556704,0.9807692307692307,0.6551724137931034,1.0,0.8157894736842105,0,0,0,8
0,0,1,0,1,5,0.5798969072164949,0.5,0.4827586206896552,1.0,0.631578947368421,0,1,2,8
1,0,0,0,2,5,0.4742268041237113,0.8076923076923077,0.46551724137931033,1.0,0.5526315789473685,0,0,0,4
0,0,0,1,0,5,0.39948453608247425,0.23076923076923078,0.5862068965517241,1.0,0.6578947368421053,0,2,0,2
1,0,0,0,1,5,0.46134020618556704,0.9807692307692307,0.6551724137931034,1.0,0.8157894736842105,0,0,0,1
1,0,0,0,2,5,0.7448453608247423,0.6923076923076923,0.5689655172413793,1.0,0.7894736842105263,0,2,1,24
0,0,0,0,2,5,0.7190721649484536,0.09615384615384616,0.6724137931034483,1.0,0.631578947368421,0,2,0,0
0,0,0,0,2,5,0.8505154639175257,0.3076923076923077,0.4827586206896552,1.0,0.6578947368421053,1,0,0,0
0,0,0,0,2,5,0.9742268041237113,0.9423076923076923,0.6206896551724138,1.0,0.5526315789473685,0,2,4,0
0,0,0,0,2,5,1.0,0.28846153846153844,0.8620689655172413,1.0,0.631578947368421,0,0,0,0
1,0,0,0,1,5,0.46134020618556704,0.9807692307692307,0.6551724137931034,1.0,0.8157894736842105,0,0,0,1
1,0,0,0,2,5,0.30412371134020616,0.25,0.8620689655172413,1.0,0.8157894736842105,0,1,0,24
0,0,0,1,4,5,0.9304123711340206,1.0,0.4827586206896552,1.0,0.7105263157894737,0,1,4,8
